product_code,quantity,pick_location
30124,5,A 1
123456,10,A1
TEST_1760652889575,10,A1
TEST_1760652916346,10,A1
TEST_1760652946606,10,A1
TEST_1760653218551,10,A1
TEST_1760653266129,10,A1
TEST_1760653505846,10,A1
TEST_1760653606297,10,A1
TEST_1760654268606,10,A1
TEST_1760654481754,10,A1
TEST_1760654724904,10,A1
TEST_1760655115564,10,A1
TEST_1771594237654,10,A1
TEST_1771594309316,10,A1
TEST_1771594326355,10,A1
TEST_1771596051331,10,A1
TEST_1771596072539,10,A1
TEST_1771598462564,10,A1
TEST_1771598524887,10,A1
TEST_1771598566652,10,A1
TEST_1771598643420,10,A1
TEST_1771598737895,10,A1
TEST_1771598755727,10,A1
TEST_1771599709041,10,A1
TEST_1771601174120,10,A1
TEST_1771601189977,10,A1
TEST_1771601225631,10,A1
TEST_1771601243142,10,A1
TEST_1771601288318,10,A1
TEST_1771601323028,10,A1
TEST_1771601671506,10,A1
TEST_1771601687576,10,A1
TEST_1771601711347,10,A1
TEST_1771601727272,10,A1
TEST_1771601788763,10,A1
TEST_1771601939603,10,A1
TEST_1771601963244,10,A1
11111,30,AA 1
25214,15,AA 2
52568,7,AB 10
12456,10,AB 9
33331,6,AC 4
36389,4,AC 5
26982,1,AF 7
23568,8,AH 8
26897,9,AL 2
12879,12,AL 7
14789,3,AM 9
88958,4,AZ 10
11224,8,AZ 4
25636,1,C 8
15178,9,D 4
12345,15,L 3
23689,10,X 10
